"Product ID","Product Name","SKU","Slug"
14164,"I-Line Gasket","GIL","i-line-gasket"
14165,"(Long) Female I-Line Ferrule 304","15WLI","long-female-i-line-ferrule-304"
14115,"(Long) Male I-Line Ferrule","14WLI","long-male-i-line-ferrule"
14114,"ID/OD Pol Tube A270 3A Import","AI270P","id-od-pol-tube-a270-3a-import"
13208,"Clamp 3 Way Sanitary Ball Valve 316L L-Port w/Teflon Seats, Locking Handle &amp; ISO Mounting Pad","TCBVS3T","clamp-3-way-sanitary-ball-valve-316l-l-port-w-teflon-seats-locking-handle-iso-mounting-pad"
13209,"Clamp Sight Glasses","TCSG","clamp-sight-glasses"
13206,"Clamp Butterfly Valve T316L with Spring Return Actuator, NC, EPDM Seat","TCBFSR","clamp-butterfly-valve-t316l-with-spring-return-actuator-nc-epdm-seat"
13207,"Clamp 3-Pce. Ball Valve T316Lwith white Teflon Seats and locking handle and ISO Mounting Pad","TCBVS","clamp-3-pce-ball-valve-t316lwith-white-teflon-seats-and-locking-handle-and-iso-mounting-pad"
13203,"Rotating Spray Balls","SRH","rotating-spray-balls"
13204,"Automated Weld Ferrules (For Orbital Welding)","STL14AM7PL","automated-weld-ferrules-for-orbital-welding"
13205,"Hexagonal Tube Hangers with Nitrile Grommets","T24RG","hexagonal-tube-hangers-with-nitrile-grommets"
13201,"Hexagonal Pipe Hangers with Inserts","P24","hexagonal-pipe-hangers-with-inserts"
13202,"Polished Spool Assemblies","SPOOL","polished-spool-assemblies"
13198,"Clamp x 150# FF Flange Adapters","FLGTC","clamp-x-150-ff-flange-adapters"
13199,"Bevel Seat Gaskets","GBS","bevel-seat-gaskets"
13200,"90° Clamp x Weld Elbows","L2CM","90-clamp-x-weld-elbows"
13196,"Weld-End Butterfly Valve EPDM Seat 316","BWBFN","weld-end-butterfly-valve-epdm-seat-316"
13197,"Buttweld 3-Pce. Ball Valve T316Lwith white Teflon Seats and locking handle and ISO Mounting Pad","BWBVS","buttweld-3-pce-ball-valve-t316lwith-white-teflon-seats-and-locking-handle-and-iso-mounting-pad"
13194,"Automatic Weld 45° Elbows","AW2KS","automatic-weld-45-elbows"
13195,"AWF 90 Elbow","AW2S","awf-90-elbow"
13191,"Weld Run x Clamp Branch Tees","7WWM","weld-run-x-clamp-branch-tees"
13192,"Clamp Crosses","9MP","clamp-crosses"
13193,"ASTM A270","A270P","astm-a270"
13189,"Long Tee","7WL","long-tee"
13190,"Weld x Clamp Run x Clamp Branch Tees","7WMM","weld-x-clamp-run-x-clamp-branch-tees"
13186,"Clamp Short Outlet Tee","7MPS","clamp-short-outlet-tee-2"
13187,"Clamp Reducing Tee","7RMP","clamp-reducing-tee"
13188,"Clamp Short Outlet Reducing Tees","7RMPS","clamp-short-outlet-reducing-tees"
13184,"Clamp Run x Weld Branch Tees","7MMW","clamp-run-x-weld-branch-tees"
13185,"Clamp Tee","7MP","clamp-tee"
13181,"Short Reducing Ferrules","31WMP","short-reducing-ferrules"
13182,"Clamp Eccentric Reducer","3214MP","clamp-eccentric-reducer"
13183,"Y-Ball Check Valves","45BY","y-ball-check-valves"
13180,"Clamp Concentric Reducer","3114MP","clamp-concentric-reducer"
13177,"Polished 36"" 90° Sweep Elbows","2SXL36","polished-36-90-sweep-elbows"
13178,"Clamp 180° Return Bends","2UMP","clamp-180-return-bends"
13179,"Polished 180° Return Bends","2WUL","polished-180-return-bends"
13174,"Polished 12"" 90° Sweep Elbows","2SXL12","polished-12-90-sweep-elbows"
13175,"Polished 18"" 90° Sweep Elbows","2SXL18","polished-18-90-sweep-elbows"
13176,"Polished 24"" 90° Sweep Elbows","2SXL24","polished-24-90-sweep-elbows"
13172,"True Wyes","28W","true-wyes"
13173,"Clamp 45° Elbows","2KMP","clamp-45-elbows"
13170,"Clamp Laterals","28AMP","clamp-laterals"
13171,"Clamp True Wyes","28BMP","clamp-true-wyes"
13167,"Clamp x Schedule 10S Weld Adapters","19MPX","clamp-x-schedule-10s-weld-adapters"
13168,"Tube OD Weld x Schedule 10s Weld Adapter","19WX","tube-od-weld-x-schedule-10s-weld-adapter-2"
13169,"Thermometer Caps","23BMP","thermometer-caps"
13165,"Female Short Weld I-Line Ferrules","15WI","female-short-weld-i-line-ferrules"
13166,"Clamp x Schedule 5S Weld Adapters","19MPV","clamp-x-schedule-5s-weld-adapters"
13164,"Short Weld Clamp Ferrules","14WMP","short-weld-clamp-ferrules"
13163,"Light Duty Tank Ferrules","14WLMP","light-duty-tank-ferrules"
13160,"Heavy Duty Tank Weld Ferrules (ASME Certified)","14MPW","heavy-duty-tank-weld-ferrules-asme-certified"
13161,"Roll-On Expanding Ferrules","14RMP","roll-on-expanding-ferrules"
13162,"(Short) Male I-Line Ferrule","14WI","short-male-i-line-ferrule"
13159,"Tygon Hose Adapters","14MPHT","tygon-hose-adapters"
13157,"Wingnut I-Line Clamps","13IS","wingnut-i-line-clamps"
13158,"Rubber Hose Adapters","14MPHR","rubber-hose-adapters"
13156,"Bolted I-Line Clamps","13ILB","bolted-i-line-clamps"
13145,"Bolted Clamps","13MHP","bolted-clamps"
9811,"3""  (Short) Male I-Line Ferrule 316L","14WI6-300","3-short-male-i-line-ferrule-316l"
3651,"Custom Tee Configuration","CUSTOM03","custom-tee-configuration"
2890,"Sweeps","CUSTOM02","sweep-elbow"
1914,"Spool","CUSTOM01","spool"
1132,"Polished 45° Elbow with Tangents","L2KS","polished-45-elbow-with-tangents"
1079,"Clamp Check Valves","TCCV","clamp-check-valve"
1047,"Three Piece Socket Weld Ball Valve","BV3S","3-piece-socket-weld-ball-valve"
1034,"Two Piece Threaded Ball Valve","BV2T","2-piece-threaded-ball-valve"
1009,"Clamp Butterfly Valve","TCBFN","clamp-butterfly-valve"
952,"150# Pipe Flange","P","150-pipe-flange"
899,"1/2 inch Thick Tube Flange","38SL","1-2-inch-thick-tube-flange"
887,"Hexagonal Tube Hanger with PP Insert","T24","tube-hanger-with-pvc-insert"
853,"Clamp Gasket","GTC","clamp-gasket"
847,"90° Clamp Elbow","2CMP","90-clamp-elbow"
842,"Female NPT x Clamp Adapter","22MP","female-npt-clamp-adapter"
837,"Male NPT x Clamp Adapter","21MP","male-npt-clamp-adapter"
827,"Solid Clamp End Cap","16AMP","solid-clamp-end-cap"
807,"Long Weld Clamp Ferrule","14AM7","long-clamp-ferrule"
796,"Single Pin Heavy Duty Clamp with Wing Nut","13MHHM","single-pin-heavy-duty-clamp-with-wing-nut"
789,"Polished Cross","9W","polished-cross"
778,"King Combination Nipple","RST","king-combination-nipple"
770,"Stationary Spray Ball","STC","stationary-spray-ball"
744,"Reducing Tee","7WRT","polished-reducing-tee"
708,"Short Tee","7WS","polished-tee"
679,"Eccentric Reducer","32W","polished-eccentric-reducer"
640,"Concentric Reducer","31W","polished-concentric-reducer"
629,"45° Elbow","2WK","45-elbow"
615,"Polished 90° Elbow with Tangents","L2S","polished-90-elbow-with-tangents"
595,"90° Elbow","2WC","90-elbow"
585,"Polished Lateral","28WA","polished-lateral"
575,"Male NPT x Tube OD Weld Adapter","19WB","male-npt-x-weld-end-adapter"
563,"Polished End Cap","16W","polished-end-cap"
556,"Type A (VB) Stub End","14VB","type-a-vb-stub-end"
548,"Teflon® Bevel Seat Gasket","GBST","teflon-bevel-seat-gasket"
539,"Plain Bevel Seat Solid End Cap","16A","plain-bevel-seat-solid-end-cap"
530,"Long Threaded Bevel Seat Ferrule","15A","long-threaded-bevel-seat-ferrule"
521,"Long Plain Bevel Seat Ferrule","14A","long-plain-bevel-seat-ferrule"
513,"Union Hexagonal Nut","13H","union-hexagonal-nut"
